146113,Hoshiarpur,yes
146114,Hoshiarpur,yes
146115,Hoshiarpur,yes
146116,Hoshiarpur,yes
147101,Patiala,yes
147104,Sirhind-Fategarh,yes
147105,"Lehra Gaga",yes
148021,Malerkotla,yes
148025,Barnala,yes
148026,Sangrur,yes
148031,Sunam,yes
148033,"Lehra Gaga",yes
148035,Sunam,yes
148100,Bhadaur,yes
148102,Bhadaur,yes
148103,Barnala,yes
148105,Barnala,yes
148106,Sangrur,yes
148107,Barnala,yes
148108,Barnala,yes
148109,Barnala,yes
151106,"Rampura Phul",yes
151202,Kotkapura,yes
151212,Faridkot,yes
151502,Mansa,yes
151505,Mansa,yes
151508,Mansa,yes
152022,Jalalabad,yes
152023,Firozpur,yes
152024,Jalalabad,yes
152025,Muktsar,yes
152028,Firozpur,yes
152031,Muktsar,yes
152032,Muktsar,yes
152033,Jalalabad,yes
152113,Malout,yes
152117,Abohar,yes
152121,Fazilka,yes
152122,Fazilka,yes
152123,Fazilka,yes
152124,Fazilka,yes
152128,Abohar,yes
152132,Abohar,yes
173025,"Paonta Sahib",yes
173030,"Kala Amb",yes
173201,Baddi,yes
173205,Baddi,yes
173210,Solan,yes
173211,Solan,yes
173212,Solan,yes
173213,Solan,yes
173214,Solan,yes
173223,Solan,yes
173229,Solan,yes
174001,Bilaspur-HP,yes
174004,Bilaspur-HP,yes
174024,Bilaspur-HP,yes
174101,Baddi,yes
174302,Una-HP,yes
174303,Una-HP,yes
174306,Una-HP,yes
174315,Una-HP,yes
174316,Amb,yes
174317,Una-HP,yes
174503,Una-HP,yes
175001,Mandi,yes
175002,"Sundar Nagar",yes
175003,Mandi,yes
175004,Mandi,yes
175005,Mandi,yes
175006,Mandi,yes
175008,Mandi,yes
175021,Mandi,yes
175027,"Sundar Nagar",yes
175036,Mandi,yes
175052,Mandi,yes
175101,Kullu,yes
175102,Kullu,yes
175103,Manali,yes
175125,Kullu,yes
175126,Kullu,yes
175131,Manali,yes
175138,Kullu,yes
176001,Kangra,yes
176038,Kangra,yes
176047,Kangra,yes
176052,Dharamshala,yes
176056,Kangra,yes
176057,Dharamshala,yes
176059,Palampur,yes
176061,Palampur,yes
176062,Palampur,yes
176064,Palampur,yes
176083,Palampur,yes
176085,Palampur,yes
176092,Bhawarna,yes
176095,Bhawarna,yes
176102,Palampur,yes
176103,Palampur,yes
176107,Bhawarna,yes
176206,Kangra,yes
176208,Kangra,yes
176209,Kangra,yes
176213,Dharamshala,yes
176214,Kangra,yes
176215,Dharamshala,yes
176216,Dharamshala,yes
176219,Dharamshala,yes
176310,Chamba,yes
176318,Chamba,yes
177001,Hamirpur,yes
177005,Hamirpur,yes
177020,Hamirpur,yes
177048,Hamirpur,yes
177201,Amb,yes
177202,Amb,yes
177203,Amb,yes
177204,Amb,yes
177205,Amb,yes
177206,Amb,yes
177207,Una-HP,yes
177208,Amb,yes
177209,Una-HP,yes
177211,Amb,yes
177212,Amb,yes
177213,Amb,yes
177220,Una-HP,yes
202145,Hathras,yes
203001,Bulandshahr,yes
203002,Bulandshahr,yes
204213,Hathras,yes
204214,Hathras,yes
